orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-333,all,90,38,1428,649,24,96599,0,0,0,0,0,A,22,Alveolar fibroblast 1,63,38,6,6,6,AT1
A-334,all,27,16,779,1784,12,20956,0,0,0,0,0,A,2,Alveolar type 1 cell,44,16,6,6,6,AT1
A-340,all,11,9,132,923,20,31655,0,0,0,0,0,A,3,Capillary 1 cell,32,9,2,2,2_1,Capillary
A-343,all,73,19,1604,898,31,76908,0,0,0,0,0,A,18,Alveolar type 1 cell,51,19,6,6,6,AT1
A-344,all,34,16,1639,1308,20,47758,0,0,0,0,0,A,5,Alveolar type 1 cell,42,16,6,6,6,AT1
A-345,all,57,30,1528,119,21,89259,0,0,0,0,0,A,9,Alveolar fibroblast 1,55,30,2,2,2_6,pDC
A-346,all,39,25,1141,522,11,38253,0,0,0,0,0,A,8,Natural killer cell,43,26,2,2,2_2,InflamMac
A-349,all,35,12,144,1666,30,57984,0,0,0,0,0,A,24,Alveolar type 2 cell,44,12,1,1,1_1,AT2
A-350,all,22,18,1724,1051,34,40792,0,0,0,0,0,A,4,Vascular smooth muscle cell,43,18,3,3,3_6,SCMF
A-353,all,10,8,1583,852,34,20369,0,0,0,0,0,A,2,Venous endothelial cell,30,8,6,6,6,AT1
A-356,all,12,8,181,257,33,39483,0,0,0,0,0,A,4,Pericyte,31,8,5,5,5_1,Pericyte
